ts_ns,pid,latency_ns
148461732894,229,219642
148461912438,963,166100
148461920247,962,170341
148462011843,43,78343
148462695440,229,418623
148462721795,962,0
148462727349,959,1590817
148462781443,960,0
148463671249,43,214449
148463748299,962,298948
148463770244,959,695146
148463808769,961,0
148464700710,43,214369
148464779324,959,671948
148464820677,960,0
148465768266,55,216655
148465790330,43,2707
148465912622,962,373071
148466601813,43,362444
148466673470,55,0
148466680257,962,0
148466706863,25,4542
148466766129,962,0
148466777607,959,1636971
148466859199,961,0
148467830115,43,238589
148467951725,229,369071
148468846274,963,879892
148469490945,229,358976
148469519165,43,2537
148469588165,229,0
148469594972,963,0
148469603603,962,1344118
148469615673,959,2413077
148469685044,960,0
148470678953,43,366926
148470775320,959,730914
148470835429,961,0
148471778577,55,214921
148471801163,43,2958
148472022940,55,0
148473358537,16,5022
148473365234,43,414022
148473435587,959,2253272
148473507084,963,1955036
148474434704,229,385973
148474453289,962,4741
148474474582,43,3619
148474559502,962,0
148474568033,959,755475
148474636953,963,0
148474886058,55,0
148474892905,959,12601
148474915380,963,0
148475807673,962,230108
148475838599,25,4220
148476717459,11,249406
148476728195,962,0
148476741337,229,4611
148476940569,962,0
148476953792,959,1755854
148477647875,229,395235
148477699092,43,3218
148477789545,229,0
148477798036,959,0
148477941628,960,0
148479379936,43,585393
148479479802,959,1138107
148479552522,961,0
148479851239,959,5293
148480560861,55,384549
148480586003,43,3057
148480714440,55,0
148480721127,959,0
148481661588,43,590217
148481735481,961,0
148482866172,229,376780
148482894121,962,5314
148483790363,963,0
148483808658,959,2321420
148484473770,963,361893
148484500827,11,6406
148484718694,25,212504
148485330826,963,0
148485343958,229,4090
148485349502,963,0
148485356760,25,3078
148485363937,963,0
148485369441,960,0
148488346620,959,0
148488385556,229,12370
148488566082,959,0
148488581600,962,4473613
148489385334,43,686184
148489475386,229,500465
148489527124,962,0
148489534823,961,0
148490878861,43,473509
148491168175,959,2196672
148491327017,962,938376
148492245234,43,363257
148492326875,959,716889
148492366914,961,0
148493394170,55,367638
148493418029,43,2577
148493538837,55,0
148493545564,959,948552
148494199508,43,386093
148494272638,959,0
148494339082,962,0
148495329768,229,365923
148495347772,959,665262
148495388613,963,45673
148495644695,25,5403
148495659472,11,9454
148495890562,25,0
148495988905,963,0
148496595873,229,6726
148496758545,959,1141969
148497441741,229,396819
148497474622,43,3699
148497547482,959,0
148497611891,961,0
148498586086,43,409230
148498666464,959,728608
148498751865,963,0
148499641862,55,217767
148499663345,43,2486
148499783993,55,0
148499790569,959,754923
148500489715,43,377712
148500559888,25,105530
148500568991,960,0
148501480551,229,370875
148501495899,962,0
148501525201,25,5523
148501690660,11,161439
148501697898,962,0
148501772031,959,0
148502403610,963,0
148502414296,962,409160
148502440701,229,2897
148502590010,962,0
148502605949,961,0
